perfil_rojo,perfil_azul,equipo_inicial,ganador,razon,equipo_toco_asesino,turnos_totales,pistas_forzadas_rojo,pistas_forzadas_azul,seed
gemini_puro,gemini_puro,rojo,azul,completado,,8,0,0,20001
gemini_puro,gemini_puro,azul,azul,asesino,rojo,6,0,0,20002
gemini_puro,gemini_puro,rojo,azul,completado,,10,0,0,20003
gemini_puro,gemini_puro,azul,azul,asesino,rojo,6,0,0,20004
gemini_puro,gemini_puro,rojo,azul,asesino,rojo,5,0,0,20005
gemini_puro,gemini_puro,azul,rojo,asesino,azul,5,0,0,20006
gemini_puro,gemini_puro,rojo,rojo,completado,,7,0,0,20007
gemini_puro,gemini_puro,azul,rojo,completado,,10,0,0,20008
gemini_puro,gemini_puro,rojo,azul,asesino,rojo,1,0,0,20009
gemini_puro,gemini_puro,azul,azul,asesino,rojo,6,0,0,20010
gemini_puro,v1_puro,rojo,azul,completado,,6,0,0,20011
gemini_puro,v1_puro,azul,azul,completado,,5,0,0,20012
gemini_puro,v1_puro,rojo,azul,completado,,4,0,0,20013
gemini_puro,v1_puro,azul,azul,completado,,5,0,0,20014
gemini_puro,v1_puro,rojo,azul,completado,,6,0,0,20015
gemini_puro,v1_puro,azul,azul,asesino,rojo,4,0,0,20016
gemini_puro,v1_puro,rojo,azul,completado,,6,0,0,20017
gemini_puro,v1_puro,azul,azul,completado,,5,0,0,20018
gemini_puro,v1_puro,rojo,azul,completado,,6,0,0,20019
gemini_puro,v1_puro,azul,azul,completado,,5,0,0,20020
gemini_puro,gemini_da_v1_lee,rojo,rojo,asesino,azul,2,0,0,20021
gemini_puro,gemini_da_v1_lee,azul,rojo,completado,,8,0,0,20022
gemini_puro,gemini_da_v1_lee,rojo,azul,asesino,rojo,5,0,0,20023
gemini_puro,gemini_da_v1_lee,azul,azul,asesino,rojo,8,0,0,20024
gemini_puro,gemini_da_v1_lee,rojo,rojo,completado,,7,0,0,20025
gemini_puro,gemini_da_v1_lee,azul,azul,asesino,rojo,8,0,0,20026
gemini_puro,gemini_da_v1_lee,rojo,azul,completado,,10,0,0,20027
gemini_puro,gemini_da_v1_lee,azul,rojo,completado,,8,0,0,20028
gemini_puro,gemini_da_v1_lee,rojo,rojo,asesino,azul,2,0,0,20029
gemini_puro,gemini_da_v1_lee,azul,azul,asesino,rojo,6,0,0,20030
gemini_puro,v1_da_gemini_lee,rojo,azul,asesino,rojo,5,0,0,20031
gemini_puro,v1_da_gemini_lee,azul,rojo,completado,,6,0,0,20032
gemini_puro,v1_da_gemini_lee,rojo,rojo,completado,,11,0,0,20033
gemini_puro,v1_da_gemini_lee,azul,azul,asesino,rojo,4,0,0,20034
gemini_puro,v1_da_gemini_lee,rojo,rojo,completado,,11,0,0,20035
gemini_puro,v1_da_gemini_lee,azul,azul,completado,,5,0,0,20036
gemini_puro,v1_da_gemini_lee,rojo,rojo,completado,,11,0,0,20037
gemini_puro,v1_da_gemini_lee,azul,azul,asesino,rojo,2,0,0,20038
gemini_puro,v1_da_gemini_lee,rojo,azul,asesino,rojo,7,0,0,20039
gemini_puro,v1_da_gemini_lee,azul,rojo,completado,,12,0,0,20040
gemini_puro,v3_puro,rojo,azul,completado,,6,0,0,20041
gemini_puro,v3_puro,azul,azul,completado,,7,0,0,20042
gemini_puro,v3_puro,rojo,azul,completado,,6,0,0,20043
gemini_puro,v3_puro,azul,azul,completado,,5,0,0,20044
gemini_puro,v3_puro,rojo,azul,completado,,8,0,0,20045
gemini_puro,v3_puro,azul,azul,completado,,5,0,0,20046
gemini_puro,v3_puro,rojo,azul,asesino,rojo,5,0,0,20047
gemini_puro,v3_puro,azul,azul,completado,,5,0,0,20048
gemini_puro,v3_puro,rojo,azul,completado,,6,0,0,20049
gemini_puro,v3_puro,azul,azul,asesino,rojo,8,0,0,20050
gemini_puro,gemini_da_v3_lee,rojo,azul,asesino,rojo,7,0,0,20051
gemini_puro,gemini_da_v3_lee,azul,azul,completado,,9,0,0,20052
gemini_puro,gemini_da_v3_lee,rojo,azul,asesino,rojo,5,0,0,20053
gemini_puro,gemini_da_v3_lee,azul,rojo,completado,,8,0,0,20054
gemini_puro,gemini_da_v3_lee,rojo,azul,asesino,rojo,5,0,0,20055
gemini_puro,gemini_da_v3_lee,azul,rojo,asesino,azul,9,0,0,20056
gemini_puro,gemini_da_v3_lee,rojo,azul,asesino,rojo,9,0,0,20057
gemini_puro,gemini_da_v3_lee,azul,azul,asesino,rojo,6,0,0,20058
gemini_puro,gemini_da_v3_lee,rojo,rojo,asesino,azul,4,0,0,20059
gemini_puro,gemini_da_v3_lee,azul,rojo,completado,,12,0,0,20060
gemini_puro,v3_da_gemini_lee,rojo,azul,asesino,rojo,7,0,0,20061
gemini_puro,v3_da_gemini_lee,azul,rojo,asesino,azul,5,0,0,20062
gemini_puro,v3_da_gemini_lee,rojo,azul,completado,,6,0,0,20063
gemini_puro,v3_da_gemini_lee,azul,rojo,completado,,10,0,0,20064
gemini_puro,v3_da_gemini_lee,rojo,azul,asesino,rojo,1,0,0,20065
gemini_puro,v3_da_gemini_lee,azul,rojo,completado,,10,0,0,20066
gemini_puro,v3_da_gemini_lee,rojo,rojo,completado,,9,0,0,20067
gemini_puro,v3_da_gemini_lee,azul,rojo,asesino,azul,5,0,0,20068
gemini_puro,v3_da_gemini_lee,rojo,rojo,asesino,azul,4,0,0,20069
gemini_puro,v3_da_gemini_lee,azul,azul,completado,,5,0,0,20070
v1_puro,gemini_puro,rojo,rojo,completado,,5,0,0,20071
v1_puro,gemini_puro,azul,rojo,asesino,azul,3,0,0,20072
v1_puro,gemini_puro,rojo,rojo,asesino,azul,2,0,0,20073
v1_puro,gemini_puro,azul,rojo,completado,,4,0,0,20074
v1_puro,gemini_puro,rojo,rojo,completado,,7,1,0,20075
v1_puro,gemini_puro,azul,rojo,completado,,6,0,0,20076
v1_puro,gemini_puro,rojo,rojo,completado,,5,0,0,20077
v1_puro,gemini_puro,azul,rojo,completado,,6,0,0,20078
v1_puro,gemini_puro,rojo,rojo,completado,,5,0,0,20079
v1_puro,gemini_puro,azul,rojo,asesino,azul,3,0,0,20080
v1_puro,v1_puro,rojo,azul,completado,,4,0,0,20081
v1_puro,v1_puro,azul,azul,completado,,6,1,0,20082
v1_puro,v1_puro,rojo,rojo,completado,,5,0,0,20083
v1_puro,v1_puro,azul,rojo,completado,,4,0,0,20084
v1_puro,v1_puro,rojo,rojo,completado,,5,0,0,20085
v1_puro,v1_puro,azul,azul,completado,,5,0,0,20086
v1_puro,v1_puro,rojo,azul,completado,,4,0,0,20087
v1_puro,v1_puro,azul,rojo,completado,,4,0,0,20088
v1_puro,v1_puro,rojo,rojo,completado,,5,0,0,20089
v1_puro,v1_puro,azul,azul,completado,,5,0,0,20090
v1_puro,gemini_da_v1_lee,rojo,rojo,asesino,azul,4,0,0,20091
v1_puro,gemini_da_v1_lee,azul,rojo,completado,,4,0,0,20092
v1_puro,gemini_da_v1_lee,rojo,rojo,completado,,5,0,0,20093
v1_puro,gemini_da_v1_lee,azul,rojo,completado,,6,0,0,20094
v1_puro,gemini_da_v1_lee,rojo,rojo,completado,,6,0,0,20095
v1_puro,gemini_da_v1_lee,azul,rojo,completado,,6,0,0,20096
v1_puro,gemini_da_v1_lee,rojo,rojo,completado,,5,0,0,20097
v1_puro,gemini_da_v1_lee,azul,rojo,completado,,4,0,0,20098
v1_puro,gemini_da_v1_lee,rojo,rojo,completado,,5,0,0,20099
v1_puro,gemini_da_v1_lee,azul,rojo,completado,,6,0,0,20100
v1_puro,v1_da_gemini_lee,rojo,rojo,asesino,azul,4,0,0,20101
v1_puro,v1_da_gemini_lee,azul,rojo,completado,,6,0,0,20102
v1_puro,v1_da_gemini_lee,rojo,rojo,asesino,azul,4,0,0,20103
v1_puro,v1_da_gemini_lee,azul,rojo,completado,,6,0,0,20104
v1_puro,v1_da_gemini_lee,rojo,rojo,asesino,azul,4,0,0,20105
v1_puro,v1_da_gemini_lee,azul,rojo,completado,,6,0,0,20106
v1_puro,v1_da_gemini_lee,rojo,rojo,completado,,5,0,0,20107
v1_puro,v1_da_gemini_lee,azul,rojo,completado,,4,0,0,20108
v1_puro,v1_da_gemini_lee,rojo,rojo,completado,,5,0,0,20109
v1_puro,v1_da_gemini_lee,azul,rojo,completado,,6,0,0,20110
v1_puro,v3_puro,rojo,azul,completado,,4,0,0,20111
v1_puro,v3_puro,azul,azul,completado,,5,0,0,20112
v1_puro,v3_puro,rojo,rojo,completado,,5,0,0,20113
v1_puro,v3_puro,azul,rojo,completado,,4,0,0,20114
v1_puro,v3_puro,rojo,rojo,completado,,5,0,0,20115
v1_puro,v3_puro,azul,azul,completado,,5,0,0,20116
v1_puro,v3_puro,rojo,rojo,completado,,5,0,0,20117
v1_puro,v3_puro,azul,azul,completado,,5,0,0,20118
v1_puro,v3_puro,rojo,rojo,completado,,5,0,0,20119
v1_puro,v3_puro,azul,azul,completado,,5,0,0,20120
v1_puro,gemini_da_v3_lee,rojo,rojo,completado,,5,0,0,20121
v1_puro,gemini_da_v3_lee,azul,rojo,completado,,4,0,0,20122
v1_puro,gemini_da_v3_lee,rojo,rojo,completado,,5,0,0,20123
v1_puro,gemini_da_v3_lee,azul,rojo,completado,,6,0,0,20124
v1_puro,gemini_da_v3_lee,rojo,rojo,completado,,5,0,0,20125
v1_puro,gemini_da_v3_lee,azul,rojo,completado,,6,0,0,20126
v1_puro,gemini_da_v3_lee,rojo,rojo,completado,,7,0,0,20127
v1_puro,gemini_da_v3_lee,azul,rojo,completado,,4,0,0,20128
v1_puro,gemini_da_v3_lee,rojo,rojo,completado,,5,0,0,20129
v1_puro,gemini_da_v3_lee,azul,rojo,completado,,6,0,0,20130
v1_puro,v3_da_gemini_lee,rojo,rojo,completado,,5,0,0,20131
v1_puro,v3_da_gemini_lee,azul,rojo,completado,,5,0,0,20132
v1_puro,v3_da_gemini_lee,rojo,rojo,completado,,5,0,0,20133
